doi_for_lookup,openalex_id,openalex_title,openalex_is_retracted,openalex_lookup_status,openalex_error,last_checked_at,next_check_at
10.1016/j.aqrep.2025.102655,https://openalex.org/W4406976718,Potential physiological mechanisms behind variation in rainbow trout (Oncorhynchus mykiss) to biosynthesize EPA and DHA when reared on plant oil replacement feeds,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102681,https://openalex.org/W4407902700,Krill supplement does not reduce virus load or heart pathology during PRV-3 infection in rainbow trout under experimental conditions,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102730,https://openalex.org/W4408250320,Physiological performance and cardiac morphology of Atlantic salmon reared under slow and fast growth conditions,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102773,https://openalex.org/W4408903355,Unlocking the potential of nutmeg oil: A sustainable alternative for rainbow trout anesthesia in aquaculture,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102784,https://openalex.org/W4409205334,Crowding causes detachment and loss of mobile sea lice: Fine-meshed crowding nets may mitigate spread,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102787,https://openalex.org/W4409202262,Towards a better understanding of the evacuation time of salmon lice (Lepeophtheirus salmonis) in lumpfish (Cyclopterus lumpus),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102828,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1016/j.aqrep.2025.102843,https://openalex.org/W4410002836,"Poultry by-product meal in diets for farmed Atlantic salmon supports high growth performance, fish welfare and fillet quality under commercial-like field conditions",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102894,https://openalex.org/W4410767281,Optimization of calcium oxide treatment against salmon louse (Lepeophtheirus salmonis). A controlled laboratory study,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102905,https://openalex.org/W4410910992,"Impact of dietary astaxanthin sources on growth performance, antioxidant status, immune response, and intestinal morphology in rainbow trout (Oncorhynchus mykiss)",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102929,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1016/j.aqrep.2025.102943,https://openalex.org/W4411476748,Early sensory responses to plant-based diets in rainbow trout (Oncorhynchus mykiss) alevins: Impact on feeding behavior,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102955,https://openalex.org/W4411575185,"First insights into Weissella tructae infections in rainbow trout (Oncorhynchus mykiss) in Vietnam: Bacterial characterization, pathogenicity and antimicrobial susceptibility",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102987,https://openalex.org/W4412803929,Biopsy sampling of red muscle does not affect physiological performances in rainbow trout,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102993,https://openalex.org/W4412692511,Discovery of bacteriocins from Enterococcus thailandicus HR23 and its role in mediating growth and immune response in rainbow trout (Oncorhynchus mykiss),FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1016/j.aqrep.2025.102996,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1016/j.aqrep.2025.103007,https://openalex.org/W4413476927,Performance and physiological consequences of completely replacing soy protein in rainbow trout (Oncorhynchus mykiss) diets with semi-defatted black soldier fly (Hermetia illucens) larval meal,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
